Название,Энергия (ккал),Белки (г),Углеводы (г),Жиры (г)
кекс домашний,325,7,11,63
Бекон жаренный,485,35,37,2
рис белый длиннозёрный варёный,126,3,0.28,28
латте с сиропом,50,2,2,6
Куриная грудка отварная диетическая,113,24,2,0.4
Кефир 1.5% Савушкин,41,3,2,4
Творог 0% нежирный Домашний Білоцерківський,72,16,0,2
Стейк из свинины,110,18,0.1,9
Каша геркулес на воде,98,3,2,17
компот из яблок с сахаром,87,0.65,0,23
Печень куриная тушеная в сметане,149,13,8,6
Какао на воде,22,0.48,0.19,4
шашлык из свиной вырезки,155,19,9,0
Напиток сильногазированный Фанта Fanta orange апельсин с витамином С,33,0,0,8
Кофе растворимый Nescafe Gold,70,0.36,0.17,8
Котлета из индейки,219,19,12,9
рожки отварные,121,4,0.6,26
малина замороженная,54,1,0.57,11
Красная смородина,68,1,0.25,13
Булочка с повидлом,293,6,4,57
Йогурт греческий с вишней 2% Teos Теос,92,7,2,11
омлет с сыром из двух яиц,134,10,10,3
Арахисовая паста без сахара,582,26,51,21
куриное филе отварное,138,28,2,0.4
Шаурма классическая,242,10,12,22
Сыр колбасный копчённый,271,23,18,4
Сыр творожный Свежа Sveza с зеленью Савушкин,229,6,22,3
брынза домашняя,285,16,24,0.7
печенье пирожное в глазури choco pie чоко пай original Orion,430,4,18,63
плавленый сырок Дружба,332,12,27,10
гречка с жареным луком и морковью,121,2,8,11
Овощи на масле тушенные,75,2,4,8
Гуляш со свининой,161,15,10,3
Клубника замороженная,43,0.43,0.11,9
борщ красный,36,1,1,8
Батончик-мюсли злаки с клюквой Энергия природы Спартак,370,4,10,66
пшено вареное на воде,95,3,0.8,20
Протеиновый батончик Tiramisu Тирамису Bombbar,311,33,9,7
Крем сыр творожный Ароматная зелень 70% Виолетта Violette,260,7,24,3
напиток безалкогольный сильногазированный Спрайт Sprite,10,0,0,2
Суши,127,5,2,22
Алыча слива желтая,34,0.2,0.1,8
Эклер с заварным кремом,271,6,15,27
груша свежая Вильямс,45,0.3,0.3,10
Курица запеченная в духовке с картошкой,170,9,11,8
Шоколад горький 70% Российский Россия щедрая душа,593,11,41,31
Кофе с сахарозаменителем,0,0,0,0
Куриная грудка в духовке,165,30,4,0.4
лечо по-домашнему,53,1,3,5
Пшенная каша на молоке с маслом,114,4,6,15
Холодец из курицы,102,16,4,2
Мороженое в вафельном стаканчике Крем-брюле Коровка из Кореновки,216,3,14,19
овсянка на воде с маслом,128,3,5,16
Овсяноблин(яйца и овсянка),112,9,6,5
Сыр Филадельфия Original Philadelphia,263,6,26,3
хлеб отрубной,248,7,3,48
Куриная голень вареная без кожи,119,21,3,0
суп харчо с мясом и рисом,75,3,4,6
хлеб белый домашний в хлебопечке,265,11,5,47
Творог зернистый 101 зерно+сливки 5% Савушкин,96,10,5,3
коньяк,239,0,0,2
конфета Птичье молоко,460,3,25,54
Каша рисовая молочная(вода/молоко),89,2,0.86,18
лук красный сырой,51,2,0.1,10
Горбуша запеченная,149,26,5,0
Конфеты Ромашка Roshen (Рошен),444,4,16,69
Тосты без масла,248,7,6,39
сметана 10% Простоквашино,117,3,10,4
макароны с мясом и овощами,131,6,6,14
Котлеты курино-свиные,157,23,5,2
Кабачки запеченные,31,1,0.3,5
Макароны спагетти Spaghetti №5 Barilla,363,14,2,70
Отбивная из свинины,305,15,27,0.47
бутерброд с красной рыбой и огурцом,299,12,12,12
Виноград кишмиш черный,70,0.7,0.2,17
Конфета чупа чупс,370,0,0,91
индейка тушенная,118,14,4,6
жареный лаваш с сыром и помидором,191,10,7,19
Салат из огурцов и помидоров с майонезом и зеленью,61,0.96,6,4
Напиток кофейный растворимый МакКофе 2 в 1 без сахара MacCoffee,438,4,14,74
Груша Дюшес,42,0.4,0.3,11
мёд липовый,283,0,0,71
Гречка с курицей,110,8,2,14
булочка с сахаром,295,7,6,49
Чипсы картофельные со вкусом сметаны и зелени Lay’s Украина,523,6,31,53
бутерброд с печеночным паштетом,274,11,15,22
слива черная,44,0.83,0.25,10
Хлебцы хрустящие ржаные Для Вас Комгалком,287,8,2,64
Пудинг 1.5% шоколадный протеиновый высокобелковый High protein Ehrmann,80,10,2,6
Грибы жареные с луком,168,5,12,10
отруби овсяные хрустящие ДиаДар DiaDar,197,14,5,25
Окрошка домашняя на квасе,78,3,5,6
Омлет из двух яиц на воде,96,20,23,18
Шоколадный батончик Mars (Марс),450,4,16,72
чиабатта классическая,252,7,4,47
шампанское полусладкое,84,0.1,0,6
Рассольник с перловкой на курином бульоне,56,2,2,6
Зеленый чай с молоком без сахара,9,0.5,0.48,0.8
булка Ромашка сдобная,266,8,3,51
Хлебцы цельнозерновые Хлебцы Молодцы,289,10,2,57
Куриные нагетсы ПП,110,24,3,1
хлеб белый тостовый,267,8,3,51
Натуральный вареный кофе с молоком,45,3,2,5
конфета Коровка на сливках,351,3,4,82
Манты,179,10,6,23
Овсянка цельнозерновая (сухая крупа) Житница здоровья,375,12,6,65
Чернослив сушёный без косточек Узбекистан,241,3,0.38,64
крыло куриное запеченое,290,27,19,0
Чебурек,306,12,15,23
чизкейк классический,321,6,23,23
Горбуша слабосоленая,169,22,9,0
Колбаса варено-копченая сервелат финский Папа Может,206,11,18,0
Сыр классический Брест-Литовск,340,26,26,0
Яблоки красные,47,0.4,0,17
Курица копченая,199,16,13,0
Нагетсы с Macdonald's,268,17,14,19
Салат помидоры. огурцы. сметана 20%,29,1,1,4
Морская капуста маринованая Санта Бремор,23,0.6,0.4,4
Хлебцы цельнозерновые Бородинские Хлебцы-Молодцы,310,12,2,60
пирог яблочный,267,3,11,38
Куриная ветчина,136,18,7,
Чизбургер Бургер Кинг Burger King,250,11,10,28
Нефильтрованное пиво,46,0.3,0,5
Шоколад 72% горький элитный Спартак,550,10,39,39
Кофе черный со сливками и сахаром,82,0.45,5,16
рыба жареная в кляре,207,13,15,5
Жареное на воде яйцо,181,15,13,0.82
Нут вареный,141,9,2,18
Ананас свежий,58,0.49,0.19,13
Овсяные хлопья экстра №3 Новокаша Гомельхлебопродукт,361,13,6,63
куриная грудка на гриле,152,29,4,0
Гречневая каша на молоке,102,4,2,19
пицца 4 вида сыра,259,11,12,28
Напиток кофейный карамель латте 3 в 1 Caramel Latte Jacobs Якобс,460,1,18,72
Молоко пастеризованное 1% Простоквашино,40,3,1,5
яйцо перепелиное вареное,168,12,13,0.6
Пельмени с говядиной,285,12,14,28
Какао порошок несквик Nesguik,379,4,3,83
Киноа вареная,125,4,2,21
Халва,522,12,34,57
Оладьи мучные на молоке,322,10,14,43
Тефтели из говядины с рисом,176,12,10,11
сырник,180,14,9,12
Скумбрия копченая,221,21,16,0
яйца сваренные в мешочек,159,13,12,0.8
Бедро куриное тушеное,179,20,10,0.21
Хек запеченный,86,19,0.75,0.45
суп куриный с домашней лапшой и картофелем,43,5,0.6,4
Кекс,369,3,11,68
Батончик райское манго Bounty Баунти,485,3,26,60
Пряник медовый,341,7,6,70
Творог рассыпчатый 5% Савушкин,117,16,5,2
свекла с чесноком и майонезом,140,6,8,10
суп рыбный с картофелем,61,4,3,6
Мохито безалкогольное,50,0.9,2,7
Пельмени с бульоном,135,9,8,7
сухарики хлебные,331,11,1,72
Кукурузные палочки,361,6,2,75
картошка с мясом в духовке,170,10,11,9
Блины на молоке,145,6,4,22
Форель запеченная,168,23,8,0.03
вафля,542,4,31,64
Кетчуп К шашлыку Торчин,100,1,0.3,22
пармезан,389,35,26,3
Коктейль молочный,107,3,4,14
